,Name,Start,Years Active,Year,Current_Citations,Age,Last_citations,Last2_citations,Last3_citations,Last4_citations,Last5_citations
0,Paulo Blikstein (B0cNWzEAAAAJ),2003,13,2003,3,0,,,,,
1,Paulo Blikstein (B0cNWzEAAAAJ),2003,13,2004,23,1,3.0,,,,
2,Paulo Blikstein (B0cNWzEAAAAJ),2003,13,2005,12,2,23.0,3.0,,,
3,Paulo Blikstein (B0cNWzEAAAAJ),2003,13,2006,38,3,12.0,23.0,3.0,,
4,Paulo Blikstein (B0cNWzEAAAAJ),2003,13,2007,49,4,38.0,12.0,23.0,3.0,
5,Paulo Blikstein (B0cNWzEAAAAJ),2003,13,2008,43,5,49.0,38.0,12.0,23.0,3.0
6,Paulo Blikstein (B0cNWzEAAAAJ),2003,13,2009,23,6,43.0,49.0,38.0,12.0,23.0
7,Paulo Blikstein (B0cNWzEAAAAJ),2003,13,2010,63,7,23.0,43.0,49.0,38.0,12.0
8,Paulo Blikstein (B0cNWzEAAAAJ),2003,13,2011,37,8,63.0,23.0,43.0,49.0,38.0
9,Paulo Blikstein (B0cNWzEAAAAJ),2003,13,2012,87,9,37.0,63.0,23.0,43.0,49.0
10,Paulo Blikstein (B0cNWzEAAAAJ),2003,13,2013,141,10,87.0,37.0,63.0,23.0,43.0
11,Paulo Blikstein (B0cNWzEAAAAJ),2003,13,2014,226,11,141.0,87.0,37.0,63.0,23.0
12,Paulo Blikstein (B0cNWzEAAAAJ),2003,13,2015,292,12,226.0,141.0,87.0,37.0,63.0
13,Paulo Blikstein (B0cNWzEAAAAJ),2003,13,2016,231,13,292.0,226.0,141.0,87.0,37.0
14,Michela Biasutti (g8i-q28AAAAJ),2004,12,2004,16,0,,,,,
15,Michela Biasutti (g8i-q28AAAAJ),2004,12,2005,30,1,16.0,,,,
16,Michela Biasutti (g8i-q28AAAAJ),2004,12,2006,28,2,30.0,16.0,,,
17,Michela Biasutti (g8i-q28AAAAJ),2004,12,2007,55,3,28.0,30.0,16.0,,
18,Michela Biasutti (g8i-q28AAAAJ),2004,12,2008,61,4,55.0,28.0,30.0,16.0,
19,Michela Biasutti (g8i-q28AAAAJ),2004,12,2009,78,5,61.0,55.0,28.0,30.0,16.0
20,Michela Biasutti (g8i-q28AAAAJ),2004,12,2010,73,6,78.0,61.0,55.0,28.0,30.0
21,Michela Biasutti (g8i-q28AAAAJ),2004,12,2011,133,7,73.0,78.0,61.0,55.0,28.0
22,Michela Biasutti (g8i-q28AAAAJ),2004,12,2012,117,8,133.0,73.0,78.0,61.0,55.0
23,Michela Biasutti (g8i-q28AAAAJ),2004,12,2013,177,9,117.0,133.0,73.0,78.0,61.0
24,Michela Biasutti (g8i-q28AAAAJ),2004,12,2014,197,10,177.0,117.0,133.0,73.0,78.0
25,Michela Biasutti (g8i-q28AAAAJ),2004,12,2015,243,11,197.0,177.0,117.0,133.0,73.0
26,Michela Biasutti (g8i-q28AAAAJ),2004,12,2016,179,12,243.0,197.0,177.0,117.0,133.0
27,Londa Schiebinger (ez52Y4EAAAAJ),1990,26,1990,17,0,,,,,
28,Londa Schiebinger (ez52Y4EAAAAJ),1990,26,1991,31,1,17.0,,,,
29,Londa Schiebinger (ez52Y4EAAAAJ),1990,26,1992,47,2,31.0,17.0,,,
30,Londa Schiebinger (ez52Y4EAAAAJ),1990,26,1993,61,3,47.0,31.0,17.0,,
31,Londa Schiebinger (ez52Y4EAAAAJ),1990,26,1994,71,4,61.0,47.0,31.0,17.0,
32,Londa Schiebinger (ez52Y4EAAAAJ),1990,26,1995,103,5,71.0,61.0,47.0,31.0,17.0
33,Londa Schiebinger (ez52Y4EAAAAJ),1990,26,1996,85,6,103.0,71.0,61.0,47.0,31.0
34,Londa Schiebinger (ez52Y4EAAAAJ),1990,26,1997,105,7,85.0,103.0,71.0,61.0,47.0
35,Londa Schiebinger (ez52Y4EAAAAJ),1990,26,1998,92,8,105.0,85.0,103.0,71.0,61.0
36,Londa Schiebinger (ez52Y4EAAAAJ),1990,26,1999,106,9,92.0,105.0,85.0,103.0,71.0
37,Londa Schiebinger (ez52Y4EAAAAJ),1990,26,2000,137,10,106.0,92.0,105.0,85.0,103.0
38,Londa Schiebinger (ez52Y4EAAAAJ),1990,26,2001,166,11,137.0,106.0,92.0,105.0,85.0
39,Londa Schiebinger (ez52Y4EAAAAJ),1990,26,2002,203,12,166.0,137.0,106.0,92.0,105.0
40,Londa Schiebinger (ez52Y4EAAAAJ),1990,26,2003,225,13,203.0,166.0,137.0,106.0,92.0
41,Londa Schiebinger (ez52Y4EAAAAJ),1990,26,2004,208,14,225.0,203.0,166.0,137.0,106.0
42,Londa Schiebinger (ez52Y4EAAAAJ),1990,26,2005,209,15,208.0,225.0,203.0,166.0,137.0
43,Londa Schiebinger (ez52Y4EAAAAJ),1990,26,2006,252,16,209.0,208.0,225.0,203.0,166.0
44,Londa Schiebinger (ez52Y4EAAAAJ),1990,26,2007,291,17,252.0,209.0,208.0,225.0,203.0
45,Londa Schiebinger (ez52Y4EAAAAJ),1990,26,2008,373,18,291.0,252.0,209.0,208.0,225.0
46,Londa Schiebinger (ez52Y4EAAAAJ),1990,26,2009,375,19,373.0,291.0,252.0,209.0,208.0
47,Londa Schiebinger (ez52Y4EAAAAJ),1990,26,2010,416,20,375.0,373.0,291.0,252.0,209.0
48,Londa Schiebinger (ez52Y4EAAAAJ),1990,26,2011,452,21,416.0,375.0,373.0,291.0,252.0
49,Londa Schiebinger (ez52Y4EAAAAJ),1990,26,2012,450,22,452.0,416.0,375.0,373.0,291.0
50,Londa Schiebinger (ez52Y4EAAAAJ),1990,26,2013,421,23,450.0,452.0,416.0,375.0,373.0
51,Londa Schiebinger (ez52Y4EAAAAJ),1990,26,2014,464,24,421.0,450.0,452.0,416.0,375.0
52,Londa Schiebinger (ez52Y4EAAAAJ),1990,26,2015,507,25,464.0,421.0,450.0,452.0,416.0
53,Londa Schiebinger (ez52Y4EAAAAJ),1990,26,2016,391,26,507.0,464.0,421.0,450.0,452.0
54,Robert Anderson (mFxtcHUAAAAJ),1983,33,1983,67,0,,,,,
55,Robert Anderson (mFxtcHUAAAAJ),1983,33,1984,62,1,67.0,,,,
56,Robert Anderson (mFxtcHUAAAAJ),1983,33,1985,59,2,62.0,67.0,,,
57,Robert Anderson (mFxtcHUAAAAJ),1983,33,1986,108,3,59.0,62.0,67.0,,
58,Robert Anderson (mFxtcHUAAAAJ),1983,33,1987,106,4,108.0,59.0,62.0,67.0,
59,Robert Anderson (mFxtcHUAAAAJ),1983,33,1988,122,5,106.0,108.0,59.0,62.0,67.0
60,Robert Anderson (mFxtcHUAAAAJ),1983,33,1989,107,6,122.0,106.0,108.0,59.0,62.0
61,Robert Anderson (mFxtcHUAAAAJ),1983,33,1990,173,7,107.0,122.0,106.0,108.0,59.0
62,Robert Anderson (mFxtcHUAAAAJ),1983,33,1991,191,8,173.0,107.0,122.0,106.0,108.0
63,Robert Anderson (mFxtcHUAAAAJ),1983,33,1992,140,9,191.0,173.0,107.0,122.0,106.0
64,Robert Anderson (mFxtcHUAAAAJ),1983,33,1993,182,10,140.0,191.0,173.0,107.0,122.0
65,Robert Anderson (mFxtcHUAAAAJ),1983,33,1994,260,11,182.0,140.0,191.0,173.0,107.0
66,Robert Anderson (mFxtcHUAAAAJ),1983,33,1995,210,12,260.0,182.0,140.0,191.0,173.0
67,Robert Anderson (mFxtcHUAAAAJ),1983,33,1996,208,13,210.0,260.0,182.0,140.0,191.0
68,Robert Anderson (mFxtcHUAAAAJ),1983,33,1997,235,14,208.0,210.0,260.0,182.0,140.0
69,Robert Anderson (mFxtcHUAAAAJ),1983,33,1998,277,15,235.0,208.0,210.0,260.0,182.0
70,Robert Anderson (mFxtcHUAAAAJ),1983,33,1999,301,16,277.0,235.0,208.0,210.0,260.0
71,Robert Anderson (mFxtcHUAAAAJ),1983,33,2000,364,17,301.0,277.0,235.0,208.0,210.0
72,Robert Anderson (mFxtcHUAAAAJ),1983,33,2001,412,18,364.0,301.0,277.0,235.0,208.0
