DCP RECORD,Book ID .,Building Address,Building Name,Building Location,Year Completed,Community District,Block,Lot,,,,,,,,,,,,,,,,,,Public Space 1
131,001,17 State Street,,Southeast corner of State and Pearl Streets,1987,1,9,7,,,,,,,,,,,,,,,,,,Public Open Space
132,002,1 Battery Park Plaza,,"Full block bounded by Whitehall Street, State Street, Pearl Street and Bridge Street",1969,1,9,29,,,,,,,,,,,,,,,,,,Plaza
130,003,1 State Street,1 State Street Plaza,Full blockfront on west side of Whitehall Street between State and  Pearl Streets,1970,1,9,1,,,,,,,,,,,,,,,,,,Plaza
129,004,1 New York Plaza,,"Full block bounded by Whitehall, Water, Broad, and South Streets",1967,1,4,1001,1052,,,,,,,,,,,,,,,,,Urban Plaza
126,005,125 Broad Street,2 New York Plaza,Northeast corner of Broad and South Streets,1970,1,5,1001,1005,,,,,,,,,,,,,,,,,Glass-Enclosed Urban Plaza Equivalent
127,006,115 Broad Street,4 New York Plaza,Southeast corner of Water and Broad Streets,1968,1,5,10,,,,,,,,,,,,,,,,,,Plaza (in C5-3)
128,007,85 Broad Street,Goldman Sachs,Full blockfront on east side of Broad Street between Pearl and South William Streets,1983,1,29,1,,,,,,,,,,,,,,,,,,Covered Pedestrian Space
124,008,7 Hanover Square,,South side of Hanover Square between Water and Pearl Streets,1983,1,30,19,,,,,,,,,,,,,,,,,,Plaza
125,009,55 Water Street,,"Full block bounded by South Street, Water Street, Vietnam Veterans Plaza, and Old Slip",1970,1,32,1,,,,,,,,,,,,,,,,,,Plaza
117,010,86 Water Street,10 Hanover Square,East side of Hanover Square between Water and Pearl Streets,1971,1,31,1,,,,,,,,,,,,,,,,,,Plaza
116,011,77 Water Street,,"Full block bounded by Front Street, Water Street, Old Slip, and Gouverneur Lane",1970,1,33,1,,,,,,,,,,,,,,,,,,Through Block Connection
134,012,32 Old Slip,Financial Square,"Full block bounded by Old Slip, Front Street, Gouverneur Lane, and South Street",1987,1,35,1,,,,,,,,,,,,,,,,,,Residential Plaza
115,013,111 Wall Street,,"Full block bounded by South Street, Front Street, Gouverneur Lane, and Wall Street",1967,1,35,10,,,,,,,,,,,,,,,,,,Urban Plaza
114,014,95 Wall Street,,Full blockfront on east side of  Water Street between Gouverneur Lane and Wall Street,1969,1,33,11,,,,,,,,,,,,,,,,,,Urban Plaza
145,015,75 Wall Street,Barclays Bank,South side of Wall Street between Water and Pearl Streets,1987,1,31,11,,,23,,,,,,,,,,,,,,,Urban Plaza
112,016,110 Wall Street,,Northeast corner of Wall and Front Streets,1964,1,37,8,,,,,,,,,,,,,,,,,,Plaza
113,017,100 Wall Street,,"Bounded by Front, Water, and Wall Streets",1969,1,38,1,,,,,,,,,,,,,,,,,,Plaza
