	cusip	industry	name	sector	stocksymbol
0	12319V103				
1	46434G780				
2	BN65SJ4				
3	J1257N107				
4	BT8RWQ5				
5	66538H708				
6	B0LNCS9				
7	49455E100				
8	0017Y108				
9	48138V105				
10	Y75638208		***SEASPAN CORPORATION CUM RED		
11	68243Q106	Other Specialty Stores	1 800 FLOWERS COM	Consumer Services	NASDAQ:FLWS
12	84990175		1/100 BERKSHIRE HTWY CLA		
13	084990175		1/100 BERKSHIRE HTWY CLA 100 S		
14	68244P107	Property-Casualty Insurers	1347 PPTY INS HLDGS INC	Finance	NASDAQ:PIH
15	H26554257		1563 VOYA RUSSELL SM CP INDEX PORT I		
16	31944C107		1ST CAPITAL BANK		
17	319716106		1ST COLONIAL BANCORP		
18	31986N102	Savings Institutions	1ST CONSTITUTION BANCORP	Finance	NASDAQ:FCCY
19	336901103	Major Banks	1ST SOURCE CORP	Finance	NASDAQ:SRCE
20	90138A103		21VIANET GROUP INC		
21	90137F103		22ND CENTY GROUP INC		
22	90214J101	Computer Software: Prepackaged Software	2U INC	Technology	NASDAQ:TWOU
23	88554D205	Computer Software: Prepackaged Software	3-D SYS CORP DEL	Technology	NYSE:DDD
24	461418337		361 CAPITAL MANAGED FUTURES STRATEGY		
25	604059AE5		3M CO		
26	88579Y10		3M CO		
27	88579Y101	Medical/Dental Instruments	3M CO	Health Care	NYSE:MMM
28	604059105		3M COMPANY		
29	33829R100	Services-Misc. Amusement & Recreation	500 COM LTD	Consumer Services	NYSE:WBAI
30	316827AC8		51JOB INC		
31	316827104	Diversified Commercial Services	51JOB INC	Technology	NASDAQ:JOBS
32	31680Q104	Computer Software: Programming, Data Processing	58 COM INC	Technology	NYSE:WUBA
33	282539105	Electric Utilities: Central	8POINT3 ENERGY PARTNERS LP	Public Utilities	NASDAQ:CAFD
34	282914100	Telecommunications Equipment	8X8 INC NEW	Public Utilities	NASDAQ:EGHT
35	001282102	Newspapers/Magazines	A H BELO CORP	Consumer Services	NYSE:AHC
36	00181T107	Other Specialty Stores	A MARK PRECIOUS METALS INC	Basic Industries	NASDAQ:AMRK
37	K0514G135		A P MOLLER-MAERSK A/S		
38	00202F102		A P MOLLER-MAERSK-B-UNSP ADR		
39	1957505		A T & T CORP NEW		
40	002121101	Computer Communications Equipment	A10 NETWORKS INC	Technology	NYSE:ATEN
41	000307108	Medical Specialities	AAC HLDGS INC	Health Care	NYSE:AAC
42	000304105		AAC TECHNOLOGIES HOLDINGS INC		
43	00036020		AAON INC		
44	000360206	Industrial Machinery/Components	AAON INC	Capital Goods	NASDAQ:AAON
45	361105		AAR CORP		
46	000361105	Aerospace	AAR CORP	Capital Goods	NYSE:AIR
47	00036110		AAR CORP		
48	2535300		AARONS INC		
49	002535300	Diversified Commercial Services	AARONS INC	Technology	NYSE:AAN
50	01877F666		AB WEALTH APPRECIATION		
51	2567105		ABAXIS INC		
52	002567105	Industrial Machinery/Components	ABAXIS INC	Capital Goods	NASDAQ:ABAX
53	000375204	Electrical Products	ABB LTD	Consumer Durables	NYSE:ABB
54	375204		ABB LTD		
55	00037520		ABB LTD		
56	H0010V101		ABB LTD.		
57	02824100		ABBOTT LABORATORIES		
58	028241000		ABBOTT LABORATORIES		
59	002824101		ABBOTT LABORATORIES		
60	2824100		ABBOTT LABS		
61	00282410		ABBOTT LABS		
62	002824100	Major Pharmaceuticals	ABBOTT LABS	Health Care	NYSE:ABT
63	00287Y10		ABBVIE INC		
64	00287Y109	Major Pharmaceuticals	ABBVIE INC	Health Care	NYSE:ABBV
65	G00349103	Electric Utilities: Central	ABENGOA YIELD PLC	Public Utilities	NASDAQ:ABY
66	00289Y107	Major Pharmaceuticals	ABEONA THERAPEUTICS INC	Health Care	NASDAQ:ABEO
67	2896207		ABERCROMBIE & FITCH CO		
68	00289620		ABERCROMBIE & FITCH CO		
69	002896207	Clothing/Shoe/Accessory Stores	ABERCROMBIE & FITCH CO	Consumer Services	NYSE:ANF
70	003009107		ABERDEEN ASIA PACIFIC INCOM		
71	00300A104		ABERDEEN ASSET MANAGEMENT PLC		
72	003011103		ABERDEEN AUSTRALIA EQTY FD I		
73	00301W105		ABERDEEN CHILE FD INC		
74	003021714		ABERDEEN EMERGING MARKETS INST		
75	00301T102		ABERDEEN EMERGING MKTS SMALL		
76	003013109		ABERDEEN GLOBAL INCOME FD IN		
77	003031101		ABERDEEN GTR CHINA FD INC		
78	00305P106		ABERDEEN INDONESIA FD INC		
79	00301L109		ABERDEEN ISRAEL FUND INC		
80	00306J109		ABERDEEN JAPAN EQUITY FD INC		
81	00306K106		ABERDEEN LATIN AMER EQTY FD		
82	003244100	n/a	ABERDEEN SINGAPORE FD INC	n/a	NYSE:SGF
83	G8789K108		ABILITY INC		
84	3654100		ABIOMED INC		
85	003654100	Medical/Dental Instruments	ABIOMED INC	Health Care	NASDAQ:ABMD
86	00365410		ABIOMED INC		
87	000957100	Diversified Commercial Services	ABM INDS INC	Finance	NYSE:ABM
88	957100		ABM INDS INC		
89	003830106	Oil & Gas Production	ABRAXAS PETE CORP	Energy	NASDAQ:AXAS
90	06742G302		ABSA GROUP LTD		
91	00400R601		ABSOLUTE SHS TR		
