Global Land and Ocean Temperature Anomalies, October
Units: Degrees Celsius
Year,Value
1880,-0.19
1881,-0.23
1882,-0.22
1883,-0.17
1884,-0.18
1885,-0.14
1886,-0.23
1887,-0.30
1888,0.01
1889,-0.20
1890,-0.31
1891,-0.29
1892,-0.25
1893,-0.21
1894,-0.21
1895,-0.13
1896,0.00
1897,-0.16
1898,-0.33
1899,-0.03
1900,0.05
1901,-0.28
1902,-0.29
1903,-0.44
1904,-0.41
1905,-0.30
1906,-0.28
1907,-0.30
1908,-0.52
1909,-0.39
1910,-0.42
1911,-0.34
1912,-0.53
1913,-0.32
1914,-0.10
1915,-0.18
1916,-0.27
1917,-0.26
1918,-0.10
1919,-0.22
1920,-0.21
1921,-0.07
1922,-0.25
1923,-0.16
1924,-0.29
1925,-0.13
1926,-0.08
1927,0.02
1928,-0.12
1929,-0.12
1930,-0.01
1931,0.01
1932,-0.09
1933,-0.19
1934,-0.07
1935,-0.01
1936,-0.02
1937,0.11
1938,0.08
1939,-0.04
1940,0.10
1941,0.31
1942,0.15
1943,0.31
1944,0.31
1945,0.26
1946,-0.01
1947,0.05
1948,-0.07
1949,-0.03
1950,-0.17
1951,0.11
1952,-0.04
1953,0.07
1954,-0.07
1955,-0.13
1956,-0.20
1957,0.01
1958,0.04
1959,-0.02
1960,0.04
1961,-0.03
1962,0.08
1963,0.21
1964,-0.27
1965,0.02
1966,-0.06
1967,0.13
1968,0.05
1969,0.07
1970,-0.04
1971,-0.08
1972,0.09
1973,0.05
1974,-0.08
1975,-0.12
1976,-0.18
1977,0.12
1978,0.07
1979,0.30
1980,0.18
1981,0.17
1982,0.18
1983,0.21
1984,0.12
1985,0.13
1986,0.21
1987,0.34
1988,0.30
1989,0.31
1990,0.43
1991,0.33
1992,0.12
1993,0.25
1994,0.43
1995,0.44
1996,0.23
1997,0.65
1998,0.49
1999,0.38
2000,0.31
2001,0.51
2002,0.48
2003,0.73
2004,0.62
2005,0.70
2006,0.68
2007,0.57
2008,0.67
2009,0.65
2010,0.62
2011,0.64
2012,0.70
2013,0.69
2014,0.79
