Global Land and Ocean Temperature Anomalies, November
Units: Degrees Celsius
Year,Value
1880,-0.27
1881,-0.22
1882,-0.14
1883,-0.17
1884,-0.28
1885,-0.14
1886,-0.20
1887,-0.17
1888,-0.05
1889,-0.29
1890,-0.35
1891,-0.39
1892,-0.47
1893,-0.17
1894,-0.29
1895,-0.16
1896,-0.16
1897,-0.26
1898,-0.25
1899,0.14
1900,-0.14
1901,-0.14
1902,-0.35
1903,-0.39
1904,-0.17
1905,-0.09
1906,-0.37
1907,-0.51
1908,-0.48
1909,-0.28
1910,-0.50
1911,-0.26
1912,-0.42
1913,-0.14
1914,-0.12
1915,-0.01
1916,-0.40
1917,-0.14
1918,-0.11
1919,-0.32
1920,-0.25
1921,-0.19
1922,-0.19
1923,0.03
1924,-0.29
1925,0.06
1926,-0.07
1927,-0.04
1928,-0.07
1929,-0.10
1930,0.14
1931,-0.12
1932,-0.20
1933,-0.25
1934,0.01
1935,-0.27
1936,-0.03
1937,0.01
1938,0.00
1939,0.04
1940,0.10
1941,0.22
1942,0.17
1943,0.24
1944,0.14
1945,0.19
1946,-0.01
1947,-0.03
1948,-0.06
1949,-0.06
1950,-0.36
1951,0.02
1952,-0.20
1953,-0.06
1954,0.04
1955,-0.24
1956,-0.16
1957,0.12
1958,0.09
1959,-0.08
1960,-0.05
1961,0.01
1962,0.07
1963,0.19
1964,-0.20
1965,-0.09
1966,-0.05
1967,-0.02
1968,0.02
1969,0.19
1970,0.02
1971,0.04
1972,0.08
1973,0.02
1974,-0.07
1975,-0.15
1976,-0.04
1977,0.26
1978,0.23
1979,0.30
1980,0.33
1981,0.22
1982,0.15
1983,0.44
1984,0.04
1985,0.12
1986,0.16
1987,0.34
1988,0.23
1989,0.26
1990,0.48
1991,0.32
1992,0.09
1993,0.10
1994,0.45
1995,0.46
1996,0.29
1997,0.58
1998,0.41
1999,0.37
2000,0.26
2001,0.69
2002,0.59
2003,0.58
2004,0.76
2005,0.73
2006,0.65
2007,0.52
2008,0.67
2009,0.67
2010,0.77
2011,0.48
2012,0.71
2013,0.83
2014,0.69
