Global Land and Ocean Temperature Anomalies, December
Units: Degrees Celsius
Year,Value
1880,-0.09
1881,-0.06
1882,-0.18
1883,-0.08
1884,-0.16
1885,0.04
1886,-0.17
1887,-0.21
1888,0.04
1889,-0.19
1890,-0.25
1891,-0.04
1892,-0.47
1893,-0.25
1894,-0.24
1895,-0.07
1896,0.06
1897,-0.29
1898,-0.01
1899,-0.17
1900,0.03
1901,-0.24
1902,-0.36
1903,-0.39
1904,-0.24
1905,-0.13
1906,-0.15
1907,-0.39
1908,-0.38
1909,-0.41
1910,-0.57
1911,-0.25
1912,-0.36
1913,-0.04
1914,-0.10
1915,-0.05
1916,-0.58
1917,-0.54
1918,-0.32
1919,-0.30
1920,-0.39
1921,-0.09
1922,-0.16
1923,0.00
1924,-0.40
1925,0.14
1926,-0.21
1927,-0.31
1928,-0.17
1929,-0.51
1930,-0.00
1931,-0.11
1932,-0.19
1933,-0.41
1934,-0.03
1935,-0.17
1936,-0.02
1937,-0.09
1938,-0.25
1939,0.41
1940,0.27
1941,0.21
1942,0.15
1943,0.35
1944,0.09
1945,-0.05
1946,-0.27
1947,-0.14
1948,-0.11
1949,-0.19
1950,-0.18
1951,0.21
1952,-0.01
1953,0.05
1954,-0.19
1955,-0.27
1956,-0.16
1957,0.23
1958,0.14
1959,-0.04
1960,0.23
1961,-0.02
1962,0.09
1963,0.08
1964,-0.26
1965,-0.01
1966,-0.13
1967,-0.04
1968,-0.04
1969,0.25
1970,-0.10
1971,-0.02
1972,0.25
1973,0.03
1974,-0.10
1975,-0.09
1976,0.09
1977,0.11
1978,0.15
1979,0.51
1980,0.27
1981,0.42
1982,0.44
1983,0.28
1984,-0.09
1985,0.20
1986,0.22
1987,0.53
1988,0.36
1989,0.40
1990,0.45
1991,0.31
1992,0.29
1993,0.32
1994,0.41
1995,0.35
1996,0.39
1997,0.63
1998,0.58
1999,0.58
2000,0.32
2001,0.52
2002,0.44
2003,0.74
2004,0.51
2005,0.62
2006,0.77
2007,0.49
2008,0.57
2009,0.62
2010,0.48
2011,0.54
2012,0.46
2013,0.70
2014,0.84
