Global Land and Ocean Temperature Anomalies, March
Units: Degrees Celsius
Year,Value
1880,-0.14
1881,0.02
1882,0.07
1883,-0.14
1884,-0.21
1885,-0.16
1886,-0.29
1887,-0.17
1888,-0.31
1889,0.11
1890,-0.32
1891,-0.22
1892,-0.31
1893,-0.22
1894,-0.20
1895,-0.29
1896,-0.20
1897,-0.18
1898,-0.66
1899,-0.26
1900,-0.05
1901,-0.03
1902,-0.21
1903,-0.28
1904,-0.52
1905,-0.40
1906,-0.14
1907,-0.28
1908,-0.60
1909,-0.54
1910,-0.43
1911,-0.58
1912,-0.32
1913,-0.41
1914,-0.16
1915,-0.11
1916,-0.30
1917,-0.43
1918,-0.18
1919,-0.24
1920,-0.06
1921,-0.22
1922,-0.08
1923,-0.27
1924,-0.12
1925,-0.17
1926,0.08
1927,-0.26
1928,-0.26
1929,-0.27
1930,-0.05
1931,-0.01
1932,-0.18
1933,-0.25
1934,-0.26
1935,-0.15
1936,-0.21
1937,-0.18
1938,0.03
1939,-0.19
1940,0.07
1941,0.10
1942,0.18
1943,0.08
1944,0.37
1945,0.11
1946,0.00
1947,-0.01
1948,-0.19
1949,-0.07
1950,-0.09
1951,-0.17
1952,-0.05
1953,0.15
1954,-0.09
1955,-0.31
1956,-0.20
1957,-0.07
1958,0.12
1959,0.20
1960,-0.21
1961,0.16
1962,0.12
1963,-0.02
1964,-0.14
1965,-0.10
1966,-0.00
1967,0.00
1968,0.15
1969,0.12
1970,0.03
1971,-0.14
1972,0.00
1973,0.33
1974,-0.05
1975,0.11
1976,-0.23
1977,0.31
1978,0.22
1979,0.25
1980,0.24
1981,0.41
1982,0.09
1983,0.43
1984,0.28
1985,0.19
1986,0.30
1987,0.26
1988,0.49
1989,0.34
1990,0.73
1991,0.38
1992,0.44
1993,0.42
1994,0.36
1995,0.47
1996,0.33
1997,0.47
1998,0.64
1999,0.37
2000,0.56
2001,0.63
2002,0.79
2003,0.57
2004,0.70
2005,0.69
2006,0.60
2007,0.67
2008,0.77
2009,0.58
2010,0.85
2011,0.59
2012,0.52
2013,0.62
2014,0.77
2015,0.90
