Global Land and Ocean Temperature Anomalies, April
Units: Degrees Celsius
Year,Value
1880,-0.06
1881,0.06
1882,-0.13
1883,-0.18
1884,-0.19
1885,-0.27
1886,-0.18
1887,-0.20
1888,-0.18
1889,0.04
1890,-0.27
1891,-0.26
1892,-0.31
1893,-0.34
1894,-0.30
1895,-0.18
1896,-0.25
1897,-0.00
1898,-0.35
1899,-0.20
1900,-0.10
1901,-0.07
1902,-0.27
1903,-0.35
1904,-0.47
1905,-0.45
1906,-0.05
1907,-0.35
1908,-0.48
1909,-0.53
1910,-0.34
1911,-0.52
1912,-0.21
1913,-0.36
1914,-0.25
1915,0.02
1916,-0.20
1917,-0.32
1918,-0.30
1919,-0.07
1920,-0.21
1921,-0.21
1922,-0.13
1923,-0.34
1924,-0.25
1925,-0.16
1926,-0.13
1927,-0.22
1928,-0.24
1929,-0.30
1930,-0.20
1931,-0.17
1932,-0.04
1933,-0.21
1934,-0.23
1935,-0.26
1936,-0.18
1937,-0.13
1938,0.04
1939,-0.13
1940,0.13
1941,0.22
1942,0.19
1943,0.17
1944,0.27
1945,0.28
1946,0.18
1947,0.01
1948,-0.06
1949,0.01
1950,-0.17
1951,-0.09
1952,0.06
1953,0.18
1954,-0.18
1955,-0.24
1956,-0.29
1957,-0.02
1958,0.11
1959,0.12
1960,-0.10
1961,0.13
1962,0.08
1963,-0.00
1964,-0.18
1965,-0.19
1966,-0.09
1967,0.01
1968,-0.07
1969,0.19
1970,0.13
1971,-0.13
1972,0.04
1973,0.25
1974,-0.04
1975,0.08
1976,-0.02
1977,0.29
1978,0.13
1979,0.11
1980,0.31
1981,0.36
1982,0.21
1983,0.30
1984,0.15
1985,0.15
1986,0.27
1987,0.31
1988,0.45
1989,0.29
1990,0.49
1991,0.52
1992,0.30
1993,0.32
1994,0.36
1995,0.42
1996,0.28
1997,0.46
1998,0.74
1999,0.46
2000,0.63
2001,0.57
2002,0.58
2003,0.56
2004,0.60
2005,0.74
2006,0.52
2007,0.74
2008,0.49
2009,0.66
2010,0.83
2011,0.65
2012,0.73
2013,0.57
2014,0.81
2015,0.78
