Global Land and Ocean Temperature Anomalies, June
Units: Degrees Celsius
Year,Value
1880,-0.17
1881,-0.10
1882,-0.15
1883,-0.01
1884,-0.20
1885,-0.32
1886,-0.25
1887,-0.22
1888,-0.10
1889,-0.07
1890,-0.30
1891,-0.20
1892,-0.28
1893,-0.23
1894,-0.34
1895,-0.30
1896,-0.08
1897,-0.10
1898,-0.21
1899,-0.20
1900,-0.04
1901,-0.13
1902,-0.33
1903,-0.38
1904,-0.44
1905,-0.25
1906,-0.17
1907,-0.37
1908,-0.40
1909,-0.42
1910,-0.36
1911,-0.44
1912,-0.27
1913,-0.39
1914,-0.20
1915,-0.09
1916,-0.38
1917,-0.35
1918,-0.17
1919,-0.23
1920,-0.26
1921,-0.17
1922,-0.29
1923,-0.20
1924,-0.23
1925,-0.23
1926,-0.12
1927,-0.20
1928,-0.28
1929,-0.28
1930,-0.08
1931,-0.03
1932,-0.16
1933,-0.20
1934,-0.01
1935,-0.17
1936,-0.11
1937,0.01
1938,-0.10
1939,-0.01
1940,0.10
1941,0.16
1942,0.21
1943,0.02
1944,0.34
1945,0.14
1946,-0.10
1947,0.02
1948,-0.01
1949,-0.15
1950,-0.06
1951,0.03
1952,0.04
1953,0.13
1954,-0.12
1955,-0.07
1956,-0.15
1957,0.16
1958,0.06
1959,0.09
1960,0.08
1961,0.15
1962,0.06
1963,0.05
1964,-0.09
1965,-0.04
1966,0.06
1967,-0.03
1968,-0.02
1969,0.08
1970,0.03
1971,-0.13
1972,0.08
1973,0.20
1974,-0.04
1975,0.04
1976,-0.07
1977,0.25
1978,0.05
1979,0.22
1980,0.25
1981,0.29
1982,0.13
1983,0.27
1984,0.14
1985,0.13
1986,0.26
1987,0.31
1988,0.39
1989,0.27
1990,0.42
1991,0.48
1992,0.29
1993,0.29
1994,0.38
1995,0.47
1996,0.35
1997,0.53
1998,0.67
1999,0.42
2000,0.41
2001,0.54
2002,0.59
2003,0.54
2004,0.47
2005,0.68
2006,0.64
2007,0.54
2008,0.53
2009,0.68
2010,0.73
2011,0.65
2012,0.70
2013,0.68
2014,0.76
