Global Land and Ocean Temperature Anomalies, July
Units: Degrees Celsius
Year,Value
1880,-0.16
1881,-0.05
1882,-0.07
1883,-0.09
1884,-0.31
1885,-0.25
1886,-0.17
1887,-0.28
1888,-0.12
1889,-0.16
1890,-0.29
1891,-0.22
1892,-0.35
1893,-0.20
1894,-0.27
1895,-0.20
1896,-0.04
1897,-0.04
1898,-0.24
1899,-0.13
1900,-0.07
1901,-0.16
1902,-0.29
1903,-0.33
1904,-0.46
1905,-0.19
1906,-0.24
1907,-0.35
1908,-0.38
1909,-0.44
1910,-0.33
1911,-0.47
1912,-0.32
1913,-0.36
1914,-0.21
1915,-0.03
1916,-0.29
1917,-0.18
1918,-0.20
1919,-0.21
1920,-0.25
1921,-0.12
1922,-0.26
1923,-0.28
1924,-0.22
1925,-0.21
1926,-0.16
1927,-0.10
1928,-0.18
1929,-0.28
1930,-0.07
1931,-0.02
1932,-0.11
1933,-0.18
1934,-0.09
1935,-0.12
1936,-0.01
1937,-0.00
1938,-0.05
1939,0.00
1940,0.15
1941,0.21
1942,0.08
1943,0.19
1944,0.32
1945,0.17
1946,-0.03
1947,-0.02
1948,-0.06
1949,-0.08
1950,-0.11
1951,0.11
1952,0.07
1953,0.06
1954,-0.12
1955,-0.09
1956,-0.14
1957,0.06
1958,0.06
1959,0.06
1960,0.03
1961,0.03
1962,0.09
1963,0.14
1964,-0.11
1965,-0.08
1966,0.07
1967,-0.02
1968,-0.02
1969,0.09
1970,-0.02
1971,-0.06
1972,0.07
1973,0.12
1974,0.02
1975,0.01
1976,-0.09
1977,0.17
1978,0.07
1979,0.18
1980,0.22
1981,0.23
1982,0.15
1983,0.27
1984,0.12
1985,0.08
1986,0.17
1987,0.42
1988,0.34
1989,0.31
1990,0.35
1991,0.45
1992,0.14
1993,0.24
1994,0.32
1995,0.43
1996,0.33
1997,0.51
1998,0.73
1999,0.40
2000,0.40
2001,0.56
2002,0.62
2003,0.54
2004,0.48
2005,0.66
2006,0.63
2007,0.53
2008,0.58
2009,0.64
2010,0.72
2011,0.63
2012,0.69
2013,0.67
2014,0.70
