Global Land and Ocean Temperature Anomalies, August
Units: Degrees Celsius
Year,Value
1880,-0.08
1881,-0.06
1882,-0.01
1883,-0.06
1884,-0.28
1885,-0.25
1886,-0.23
1887,-0.32
1888,-0.17
1889,-0.15
1890,-0.34
1891,-0.23
1892,-0.33
1893,-0.32
1894,-0.27
1895,-0.22
1896,-0.06
1897,-0.07
1898,-0.23
1899,-0.06
1900,-0.07
1901,-0.13
1902,-0.26
1903,-0.43
1904,-0.43
1905,-0.22
1906,-0.23
1907,-0.33
1908,-0.48
1909,-0.31
1910,-0.34
1911,-0.46
1912,-0.46
1913,-0.33
1914,-0.18
1915,-0.08
1916,-0.28
1917,-0.17
1918,-0.17
1919,-0.21
1920,-0.23
1921,-0.19
1922,-0.28
1923,-0.28
1924,-0.29
1925,-0.14
1926,-0.09
1927,-0.11
1928,-0.20
1929,-0.21
1930,-0.09
1931,-0.02
1932,-0.18
1933,-0.19
1934,-0.05
1935,-0.10
1936,-0.06
1937,0.09
1938,-0.02
1939,0.05
1940,0.09
1941,0.17
1942,0.04
1943,0.10
1944,0.27
1945,0.36
1946,-0.07
1947,-0.07
1948,-0.03
1949,-0.03
1950,-0.14
1951,0.11
1952,0.06
1953,0.08
1954,-0.09
1955,-0.03
1956,-0.19
1957,0.13
1958,0.05
1959,0.05
1960,0.05
1961,0.03
1962,0.06
1963,0.16
1964,-0.17
1965,-0.05
1966,0.02
1967,-0.01
1968,-0.02
1969,0.10
1970,-0.02
1971,-0.07
1972,0.09
1973,0.08
1974,0.01
1975,-0.07
1976,-0.09
1977,0.14
1978,0.01
1979,0.23
1980,0.20
1981,0.25
1982,0.14
1983,0.33
1984,0.17
1985,0.13
1986,0.17
1987,0.39
1988,0.33
1989,0.30
1990,0.35
1991,0.39
1992,0.14
1993,0.21
1994,0.31
1995,0.51
1996,0.32
1997,0.54
1998,0.68
1999,0.37
2000,0.46
2001,0.61
2002,0.54
2003,0.62
2004,0.52
2005,0.63
2006,0.63
2007,0.56
2008,0.56
2009,0.70
2010,0.66
2011,0.61
2012,0.67
2013,0.67
2014,0.80
