Global Land and Ocean Temperature Anomalies, September
Units: Degrees Celsius
Year,Value
1880,-0.09
1881,-0.19
1882,-0.00
1883,-0.15
1884,-0.23
1885,-0.21
1886,-0.20
1887,-0.19
1888,-0.07
1889,-0.23
1890,-0.36
1891,-0.15
1892,-0.22
1893,-0.26
1894,-0.25
1895,-0.13
1896,-0.06
1897,-0.02
1898,-0.21
1899,-0.03
1900,-0.06
1901,-0.21
1902,-0.24
1903,-0.38
1904,-0.47
1905,-0.22
1906,-0.30
1907,-0.34
1908,-0.40
1909,-0.36
1910,-0.34
1911,-0.40
1912,-0.51
1913,-0.36
1914,-0.19
1915,-0.12
1916,-0.26
1917,-0.06
1918,-0.14
1919,-0.18
1920,-0.17
1921,-0.15
1922,-0.26
1923,-0.25
1924,-0.28
1925,-0.10
1926,-0.10
1927,-0.03
1928,-0.19
1929,-0.21
1930,-0.11
1931,-0.01
1932,-0.07
1933,-0.22
1934,-0.12
1935,-0.09
1936,-0.04
1937,0.13
1938,0.03
1939,0.01
1940,0.15
1941,0.09
1942,0.11
1943,0.14
1944,0.38
1945,0.26
1946,-0.02
1947,-0.13
1948,-0.11
1949,-0.07
1950,-0.11
1951,0.13
1952,0.07
1953,0.07
1954,-0.06
1955,-0.09
1956,-0.25
1957,0.07
1958,0.02
1959,0.10
1960,0.06
1961,-0.01
1962,0.06
1963,0.16
1964,-0.21
1965,-0.05
1966,0.03
1967,-0.03
1968,-0.01
1969,0.08
1970,0.01
1971,-0.04
1972,0.02
1973,0.06
1974,-0.04
1975,0.02
1976,-0.04
1977,0.19
1978,0.08
1979,0.25
1980,0.20
1981,0.19
1982,0.24
1983,0.32
1984,0.15
1985,0.10
1986,0.17
1987,0.44
1988,0.32
1989,0.31
1990,0.32
1991,0.39
1992,0.07
1993,0.17
1994,0.34
1995,0.39
1996,0.27
1997,0.62
1998,0.53
1999,0.40
2000,0.44
2001,0.51
2002,0.57
2003,0.64
2004,0.54
2005,0.69
2006,0.64
2007,0.58
2008,0.53
2009,0.71
2010,0.57
2011,0.60
2012,0.72
2013,0.68
2014,0.79
