sender	recipient	total
003255	024013	164.0
003255	038817	104.0
003255	033337	68.0
021838	000803	59.6484848485
021838	032460	59.6484848485
021838	021838	59.6484848485
021838	033618	59.6484848485
003269	003269	56.0
007459	039456	48.5
039456	007459	47.5
002191	032859	46.619047619
039052	002697	40.6666666667
032386	021957	39.1364468864
003255	026634	38.0
032859	002191	36.567965368
011755	001058	36.0
033587	007784	33.9166056166
037598	003142	33.0
003255	034125	31.0
039052	039052	30.7
022288	027014	30.0
019093	019093	29.4023809524
023651	035002	29.35
018575	016223	28.0
021838	033391	26.6484848485
024801	024801	26.3626373626
013054	028867	26.3333333333
019741	029549	26.0
023042	022245	25.9043040293
028679	018352	25.45
015758	023129	24.7491452991
001008	001008	24.6543040293
037456	031101	24.5
007269	012022	24.3333333333
033343	033343	23.3333333333
000552	027692	23.0
012991	005698	22.5833333333
017553	013265	22.25
010020	020387	22.0
012300	021411	22.0
017432	037226	22.0
002375	007725	21.8333333333
023620	028608	21.6777777778
006594	029562	21.5
033182	033182	21.5
012684	028601	21.5
020751	027142	21.3333333333
028662	022245	21.25
015423	015423	21.1666666667
037456	026298	21.0
019470	008901	21.0
019470	031786	21.0
022912	016594	21.0
029624	010752	20.9477633478
021957	032386	20.9416666667
028722	020566	20.7666666667
035002	023651	20.5
004496	003880	20.3333333333
017777	020148	20.1666666667
017432	023151	20.0
003255	025413	20.0
003255	017497	20.0
028069	030153	19.8333333333
010007	010007	19.7333333333
024007	022245	19.2
035603	005767	19.0666666667
025384	030423	19.0
027692	000552	19.0
023413	027687	19.0
032360	005767	19.0
036288	003983	19.0
011149	011119	18.8333333333
037320	016694	18.5
010717	010717	18.4166666667
034709	015071	18.3333333333
036704	036704	18.2678571429
006536	011886	17.9166666667
029115	011702	17.5
016340	035102	17.3333333333
020148	017777	17.3333333333
028959	023408	17.119047619
027141	018910	16.819047619
017569	037958	16.6666666667
027141	037319	16.6523809524
022069	027687	16.5833333333
028288	023093	16.5
008012	006701	16.5
003255	002040	16.0
000750	029624	16.0
006703	003424	16.0
037178	002047	16.0
033817	001261	16.0
012646	005884	16.0
030166	031185	16.0
017432	036959	16.0
012585	036267	15.8333333333
029116	029116	15.8166666667
036837	009630	15.625
023620	015569	15.5111111111
003356	035962	15.5
030153	028069	15.2666666667
018352	028679	15.2
039717	037509	15.0
039638	018352	15.0
016975	016051	15.0
039713	013290	15.0
006697	011997	15.0
031185	030166	14.9102564103
031361	012960	14.7857142857
013858	026921	14.6428571429
030169	030169	14.5
032348	013705	14.5
037178	023910	14.3833333333
005817	006136	14.3333333333
029053	032859	14.3333333333
018910	001926	14.3333333333
023129	015758	14.3042429792
011628	013244	14.119047619
029624	000750	14.0
013261	014079	14.0
009205	014413	14.0
031365	011279	14.0
030776	037846	14.0
028716	013439	14.0
002047	037178	14.0
037207	004555	14.0
033104	002676	13.8333333333
