,Year,Value,Month
0,1880,-0.01,1
1,1881,-0.02,1
2,1882,0.08,1
3,1883,-0.27,1
4,1884,-0.19,1
5,1885,-0.44,1
6,1886,-0.12,1
7,1887,-0.39,1
8,1888,-0.4,1
9,1889,-0.11,1
10,1890,-0.37,1
11,1891,-0.39,1
12,1892,-0.24,1
13,1893,-0.68,1
14,1894,-0.43,1
15,1895,-0.44,1
16,1896,-0.1,1
17,1897,-0.19,1
18,1898,-0.04,1
19,1899,-0.11,1
20,1900,-0.25,1
21,1901,-0.13,1
22,1902,-0.09,1
23,1903,-0.21,1
24,1904,-0.54,1
25,1905,-0.36,1
26,1906,-0.17,1
27,1907,-0.35,1
28,1908,-0.36,1
29,1909,-0.55,1
30,1910,-0.31,1
31,1911,-0.52,1
32,1912,-0.28,1
33,1913,-0.36,1
34,1914,0.09,1
35,1915,-0.14,1
36,1916,-0.18,1
37,1917,-0.43,1
38,1918,-0.21,1
39,1919,-0.24,1
40,1920,-0.12,1
41,1921,-0.06,1
42,1922,-0.32,1
43,1923,-0.22,1
44,1924,-0.25,1
45,1925,-0.32,1
46,1926,0.17,1
47,1927,-0.17,1
48,1928,-0.08,1
49,1929,-0.48,1
50,1930,-0.35,1
51,1931,-0.06,1
52,1932,0.16,1
53,1933,-0.31,1
54,1934,-0.31,1
55,1935,-0.29,1
56,1936,-0.25,1
57,1937,-0.17,1
58,1938,-0.04,1
59,1939,-0.17,1
60,1940,-0.12,1
61,1941,0.18,1
62,1942,0.3,1
63,1943,-0.03,1
64,1944,0.42,1
65,1945,0.16,1
66,1946,0.22,1
67,1947,-0.19,1
68,1948,0.05,1
69,1949,0.12,1
70,1950,-0.28,1
71,1951,-0.29,1
72,1952,0.15,1
73,1953,0.1,1
74,1954,-0.24,1
75,1955,0.09,1
76,1956,-0.18,1
77,1957,-0.12,1
78,1958,0.3,1
79,1959,0.12,1
80,1960,0.0,1
81,1961,0.12,1
82,1962,0.13,1
83,1963,0.04,1
84,1964,0.05,1
85,1965,-0.07,1
86,1966,-0.05,1
87,1967,-0.11,1
88,1968,-0.19,1
89,1969,-0.13,1
90,1970,0.12,1
91,1971,-0.01,1
92,1972,-0.24,1
93,1973,0.26,1
94,1974,-0.19,1
95,1975,0.12,1
96,1976,-0.02,1
97,1977,0.06,1
98,1978,0.16,1
99,1979,0.16,1
100,1980,0.31,1
101,1981,0.47,1
102,1982,0.14,1
103,1983,0.52,1
104,1984,0.29,1
105,1985,0.18,1
106,1986,0.33,1
107,1987,0.32,1
108,1988,0.55,1
109,1989,0.22,1
110,1990,0.37,1
111,1991,0.45,1
112,1992,0.48,1
113,1993,0.39,1
114,1994,0.29,1
115,1995,0.56,1
116,1996,0.27,1
117,1997,0.38,1
118,1998,0.61,1
119,1999,0.5,1
120,2000,0.35,1
121,2001,0.48,1
122,2002,0.7,1
123,2003,0.69,1
124,2004,0.6,1
125,2005,0.63,1
126,2006,0.46,1
127,2007,0.89,1
128,2008,0.28,1
129,2009,0.6,1
130,2010,0.7,1
131,2011,0.47,1
132,2012,0.42,1
133,2013,0.59,1
134,2014,0.7,1
135,2015,0.81,1
0,1880,-0.13,2
1,1881,-0.03,2
2,1882,0.03,2
3,1883,-0.3,2
4,1884,-0.15,2
5,1885,-0.27,2
6,1886,-0.29,2
7,1887,-0.39,2
8,1888,-0.34,2
9,1889,-0.0,2
10,1890,-0.44,2
11,1891,-0.53,2
12,1892,-0.13,2
13,1893,-0.62,2
14,1894,-0.22,2
15,1895,-0.42,2
16,1896,-0.07,2
17,1897,-0.11,2
18,1898,-0.28,2
19,1899,-0.29,2
20,1900,-0.1,2
21,1901,-0.07,2
22,1902,-0.05,2
23,1903,-0.08,2
24,1904,-0.47,2
25,1905,-0.62,2
26,1906,-0.23,2
27,1907,-0.4,2
28,1908,-0.38,2
29,1909,-0.46,2
30,1910,-0.36,2
31,1911,-0.54,2
32,1912,-0.12,2
33,1913,-0.39,2
34,1914,-0.12,2
35,1915,-0.02,2
36,1916,-0.18,2
37,1917,-0.48,2
38,1918,-0.29,2
39,1919,-0.05,2
40,1920,-0.23,2
41,1921,-0.15,2
42,1922,-0.29,2
43,1923,-0.38,2
